Journal,Year,Title,Abstract,DOI,DOI_2,PubMed ID,Author full names,Afiliations,Publication Type,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30,Review/Article,word_count,text_before_doi,doi_value,Extracted_DOI,Final_DOI,Data_Set
Diabetes & metabolism,2023,"GLP-1 receptor agonists effect on cognitive function in patients with and without 
      type 2 diabetes.","Glucagon-like peptide 1 (GLP-1) is a hormone of the incretin family, secreted in 
      response to nutrient ingestion, and plays a role in metabolic homeostasis. GLP-1 
      receptor agonist has a peripheral and a central action, including stimulation of 
      glucose-dependent insulin secretion and insulin biosynthesis, inhibition of 
      glucagon secretion and gastric emptying, and inhibition of food intake. Through 
      their mechanism, their use in the treatment of type 2 diabetes has been extended 
      to the management of obesity, and numerous trials are being conducted to assess 
      their cardiovascular effect. Type 2 diabetes appears to share common 
      pathophysiological mechanisms with the development of cognitive disorders, such 
      as Alzheimer's and Parkinson's disease, related to insulin resistance. In this 
      review, we aim to examine the pathological features between type 2 diabetes and 
      dementia, GLP-1 central effects, and analyze the relevant literature about the 
      effect of GLP-1 analogs on cognitive function of patients with type 2 diabetes 
      but also without. Results tends to show an improvement in some brain markers 
      (e.g. hippocampal connections, cerebral glucose metabolism, hippocampal 
      activation on functional magnetic resonance imaging), but without being able to 
      demonstrate a strong correlation to cognitive scores. Some epidemiological 
      studies suggest that GLP-1 receptor agonists may offer a protective effect, by 
      delaying progression to dementia when diabetic patients are treated with GLP-1 
      receptor agonists. Ongoing trials are in progress and may provide 
      disease-modifying care for Alzheimer's disease and Parkinson's disease patients 
      in the future.",S1262-3636(23)00052-6 [pii],Diabetes Metab. 2023 Sep;49(5):101470. doi: 10.1016/j.diabet.2023.101470. Epub ,37657738,"['Monney, Marine', 'Jornayvaz, François R', 'Gariani, Karim']","['Division of General Internal Medicine, Department of Medicine, Geneva University ', 'Division of Endocrinology, Diabetes, Nutrition and Therapeutic Patient Education, ', 'Division of Endocrinology, Diabetes, Nutrition and Therapeutic Patient Education, ']","['Journal Article', 'Review']","Monney, Marine","Jornayvaz, François R","Gariani, Karim",,,,,,,,,,,,,,,,,,,,,,,,,,,,Chapter,235,S1262-3636(23)00052-6 [pii],,10.1016/j.diabet.2023.101470,10.1016/j.diabet.2023.101470,PubMed
"Foods (Basel, Switzerland)",2021,"The Role of Bioactive Peptides in Diabetes and Obesity.
","Bioactive peptides are present in most soy products and eggs and have essential 
      protective functions. Infection is a core feature of innate immunity that affects 
      blood pressure and the glucose level, and ageing can be delayed by killing 
      senescent cells. Food also encrypts bioactive peptides and protein sequences 
      produced through proteolysis or food processing. Unique food protein fragments 
      can improve human health and avoid metabolic diseases, inflammation, 
      hypertension, obesity, and diabetes mellitus. This review focuses on drug targets 
      and fundamental mechanisms of bioactive peptides on metabolic syndromes, namely 
      obesity and type 2 diabetes, to provide new ideas and knowledge on the ability of 
      bioactive peptide to control metabolic syndromes.",10.3390/foods10092220 [doi],Foods. 2021 Sep 18;10(9):2220. doi: 10.3390/foods10092220.,34574330,"['Chelliah, Ramachandran', 'Wei, Shuai', 'Daliri, Eric Banan-Mwine', 'Elahi, Fazle', 'Yeon, Su-Jung', 'Tyagi, Akanksha', 'Liu, Shucheng', 'Madar, Inamul Hasan', 'Sultan, Ghazala', 'Oh, Deog-Hwan']","['College of Food Science and Technology, Guangdong Ocean University, Guangdong ', 'Department of Food Science and Biotechnology, College of Agriculture and Life ', 'College of Food Science and Technology, Guangdong Ocean University, Guangdong ', 'Southern Marine Science and Engineering Guangdong Laboratory, Zhanjiang 524088, ', 'Department of Food Science and Biotechnology, College of Agriculture and Life ', 'Department of Food Science and Biotechnology, College of Agriculture and Life ', 'Department of Food Science and Biotechnology, College of Agriculture and Life ', 'Department of Food Science and Biotechnology, College of Agriculture and Life ', 'College of Food Science and Technology, Guangdong Ocean University, Guangdong ', 'Southern Marine Science and Engineering Guangdong Laboratory, Zhanjiang 524088, ', 'Collaborative Innovation Center of Seafood Deep Processing, Dalian Polytechnic ', 'Department of Biotechnology, School of Biotechnology and Genetic Engineering, ', 'Department of Computer Science, Aligarh Muslim University, Aligarh 202002, India.', 'Department of Food Science and Biotechnology, College of Agriculture and Life ']","['Journal Article', 'Review']","Chelliah, Ramachandran","Wei, Shuai","Daliri, Eric Banan-Mwine","Elahi, Fazle","Yeon, Su-Jung","Tyagi, Akanksha","Liu, Shucheng","Madar, Inamul Hasan","Sultan, Ghazala","Oh, Deog-Hwan",,,,,,,,,,,,,,,,,,,,,review,109,,10.3390/foods10092220 ,10.3390/foods10092220,10.3390/foods10092220 ,PubMed
"Food research international (Ottawa, Ont.)",2021,"Recent developments on production, purification and biological activity of marine 
      peptides.","Marine peptides are one of the richest sources of structurally diverse bioactive 
      compounds and a considerable attention has been drawn towards their production 
      and bioactivity. However, there is a paucity in consolidation of emerging trends 
      encompassing both production techniques and biological application. Herein, we 
      intend to review the recent advancements on different production, purification 
      and identification technologies used for marine peptides along with presenting 
      their potential health benefits. Bibliometric analysis revealed a growing number 
      of scientific publications on marine peptides (268 documents per year) with both 
      Asia (37.2%) and Europe (33.1%) being the major contributors. Extraction and 
      purification by ultrafiltration and enzymatic hydrolysis, followed by 
      identification by chromatographic techniques coupled with an appropriate detector 
      could yield a high content of peptides with improved bioactivity. Moreover, the 
      multifunctional health benefits exerted by marine peptides including 
      anti-microbial, antioxidant, anti-hypertension, anti-diabetes and anti-cancer 
      along with their structure-activity relationship were presented. The future 
      perspective on marine peptide research should focus on finding improved 
      separation and purification technologies with enhanced selectivity and resolution 
      for obtaining more novel peptides with high yield and low cost. In addition, by 
      employing encapsulation strategies such as nanoemulsion and nanoliposome, oral 
      bioavailability and bioactivity of peptides can be greatly enhanced. Also, the 
      potential health benefits that are demonstrated by in vitro and in vivo models 
      should be validated by conducting human clinical trials for a technology transfer 
      from bench to bedside.",S0963-9969(21)00367-7 [pii],Food Res Int. 2021 Sep;147:110468. doi: 10.1016/j.foodres.2021.110468. Epub 2021 ,34399466,"['Sridhar, Kandi', 'Inbaraj, Baskaran Stephen', 'Chen, Bing-Huei']","['Department of Food Science, Fu Jen Catholic University, New Taipei City 242 05, ', 'Department of Food Science, Fu Jen Catholic University, New Taipei City 242 05, ', 'Department of Food Science, Fu Jen Catholic University, New Taipei City 242 05, ']","['Journal Article', 'Review']","Sridhar, Kandi","Inbaraj, Baskaran Stephen","Chen, Bing-Huei",,,,,,,,,,,,,,,,,,,,,,,,,,,,Chapter,231,S0963-9969(21)00367-7 [pii],,10.1016/j.foodres.2021.110468,10.1016/j.foodres.2021.110468,PubMed
Marine drugs,2017,"Marine Peptides as Potential Agents for the Management of Type 2 Diabetes 
      Mellitus-A Prospect.
","An increasing prevalence of diabetes is known as a main risk for human health in 
      the last future worldwide. There is limited evidence on the potential management 
      of type 2 diabetes mellitus using bioactive peptides from marine organisms, 
      besides from milk and beans. We summarized here recent advances in our 
      understanding of the regulation of glucose metabolism using bioactive peptides 
      from natural proteins, including regulation of insulin-regulated glucose 
      metabolism, such as protection and reparation of pancreatic β-cells, enhancing 
      glucose-stimulated insulin secretion and influencing the sensitivity of insulin 
      and the signaling pathways, and inhibition of bioactive peptides to dipeptidyl 
      peptidase IV, α-amylase and α-glucosidase activities. The present paper tried to 
      understand the underlying mechanism involved and the structure characteristics of 
      bioactive peptides responsible for its antidiabetic activities to prospect the 
      utilization of rich marine organism proteins.",10.3390/md15040088 [doi],Mar Drugs. 2017 Mar 23;15(4):88. doi: 10.3390/md15040088.,28333091,"['Xia, En-Qin', 'Zhu, Shan-Shan', 'He, Min-Jing', 'Luo, Fei', 'Fu, Cheng-Zhan', 'Zou, Tang-Bin']","['Dongguan Key Laboratory of Environmental Medicine, School of Public Health, ', 'Dongguan Key Laboratory of Environmental Medicine, School of Public Health, ', 'Dongguan Key Laboratory of Environmental Medicine, School of Public Health, ', 'Dongguan Key Laboratory of Environmental Medicine, School of Public Health, ', 'Dongguan Key Laboratory of Environmental Medicine, School of Public Health, ', 'Dongguan Key Laboratory of Environmental Medicine, School of Public Health, ']","['Journal Article', 'Review']","Xia, En-Qin","Zhu, Shan-Shan","He, Min-Jing","Luo, Fei","Fu, Cheng-Zhan","Zou, Tang-Bin",,,,,,,,,,,,,,,,,,,,,,,,,review,135,,10.3390/md15040088 ,10.3390/md15040088,10.3390/md15040088 ,PubMed
Critical reviews in food science and nutrition,2022,"Can be marine bioactive peptides (MBAs) lead the future of foodomics for human 
      health?","Marine organisms are considered a cache of biologically active metabolites with 
      pharmaceutical, functional, and nutraceutical properties. Among these, marine 
      bioactive peptides (MBAs) present in diverse marine species (fish, sponges, 
      cyanobacteria, fungi, ascidians, seaweeds, & mollusks) have acquired attention 
      owing to their broad-spectrum health-promoting benefits. Nowadays, scientists are 
      keener exploring marine bioactive peptides precisely due to their unique 
      structural and biological properties. These MBAs have reported ameliorating 
      potential against different diseases like hypertension, diabetes, obesity, HIV, 
      cancer, oxidation, and inflammation. Furthermore, MBAs isolated from various 
      marine organisms may also have a beneficial role in the cosmetic, nutraceutical, 
      and food industries. Few marine peptides and their derivative are approved for 
      commercial use, while many MBAs are in various pre-clinical and clinical trials. 
      This review mainly focuses on the diversity of marine bioactive peptides in 
      marine organisms and their production procedures, such as chemical and enzymatic 
      hydrolysis. Moreover, MBAs' therapeutic and biological potential has also been 
      critically discussed herein, along with their status in drug discovery, 
      pre-clinical and clinical trials.",10.1080/10408398.2021.1910482 [doi],Crit Rev Food Sci Nutr. 2022;62(25):7072-7116. doi: ,33840324,"['Rauf, Abdur', 'Khalil, Anees Ahmed', 'Khan, Muneeb', 'Anwar, Sirajudheen', 'Alamri, Abdulwahab', 'Alqarni, Abdulmalik M', 'Alghamdi, Adel', 'Alshammari, Farhan', 'Rengasamy, Kannan R R', 'Wan, Chunpeng']","['Department of Chemistry, University of Swabi, Anbar, Khyber Pakhtunkhwa, ', 'University Institute of Diet and Nutritional Sciences, Faculty of Allied Health ', 'Department of Human Nutrition and Dietetics, Riphah College of Rehabilitation and ', 'Department of Pharmacology and Toxicology, University of Hail, Hail, Saudi ', 'Department of Pharmacology and Toxicology, University of Hail, Hail, Saudi ', 'Department of Pharmaceutical Chemistry, College of Clinical Pharmacy, Imam ', 'Pharmaceutical Chemistry Department, Faculty of Clinical Pharmacy, Al Baha ', 'Department Of Pharmaceutics, College of Pharmacy, University of Hail, Hail, Saudi ', 'Green Biotechnologies Research Centre of Excellence, University of Limpopo, ', 'Jiangxi Key Laboratory for Postharvest Technology and Nondestructive Testing of ']","['Journal Article', 'Review']","Rauf, Abdur","Khalil, Anees Ahmed","Khan, Muneeb","Anwar, Sirajudheen","Alamri, Abdulwahab","Alqarni, Abdulmalik M","Alghamdi, Adel","Alshammari, Farhan","Rengasamy, Kannan R R","Wan, Chunpeng",,,,,,,,,,,,,,,,,,,,,review,167,,10.1080/10408398.2021.1910482 ,,10.1080/10408398.2021.1910482 ,PubMed
Marine drugs,2024,"Effects of Marine-Derived Components on Cardiovascular Disease Risk Factors and 
      Gut Microbiota Diversity.
","Cardiovascular diseases (CVDs), which comprise coronary heart disease, 
      hypertension, and stroke, collectively represent the number one cause of death 
      globally. Atherosclerosis is the dominant cause of CVDs, and its risk factors are 
      elevated levels of low-density lipoprotein cholesterol and triglycerides, 
      hypertension, cigarette smoking, obesity, and diabetes mellitus. In addition, 
      diverse evidence highlights the role played by inflammation and clonal 
      haematopoiesis, eventually leading to immunity involvement. The human microbiota 
      project and subsequent studies using next-generation sequencing technology have 
      indicated that thousands of different microbial species are present in the human 
      gut. Disturbances in the gut microbiota (GM) composition, i.e., gut dysbiosis, 
      have been associated with diseases ranging from localised gastrointestinal 
      disorders to metabolic and cardiovascular illnesses. Of note, experimental 
      studies suggested that GM, host immune cells, and marine-derived ingredients work 
      together to ensure intestinal wall integrity. This review discusses current 
      evidence concerning the links among GM, marine-derived ingredients, and human 
      inflammatory disease. In detail, we summarise the impact of fish-derived 
      proteins/peptides and algae components on CVD risk factors and gut microbiome. 
      Furthermore, we describe the interplay among these dietary components, 
      probiotics/prebiotics, and CVDs.",10.3390/md22110523 [doi],Mar Drugs. 2024 Nov 20;22(11):523. doi: 10.3390/md22110523.,39590803,"['Lamminpää, Ingrid', 'Amedei, Amedeo', 'Parolini, Cinzia']","['Department of Clinical and Experimental Medicine, University of Florence, 50134 ', 'SOD of Interdisciplinary Internal Medicine, Azienda Ospedaliera Universitaria ', 'Department of Clinical and Experimental Medicine, University of Florence, 50134 ', 'SOD of Interdisciplinary Internal Medicine, Azienda Ospedaliera Universitaria ', 'Network of Immunity in Infection, Malignancy and Autoimmunity (NIIMA), Universal ', ""Department of Pharmacological and Biomolecular Sciences, 'Rodolfo Paoletti', Via ""]","['Journal Article', 'Review']","Lamminpää, Ingrid","Amedei, Amedeo","Parolini, Cinzia",,,,,,,,,,,,,,,,,,,,,,,,,,,,review,182,,10.3390/md22110523 ,10.3390/md22110523,10.3390/md22110523 ,PubMed
Frontiers in nutrition,2019,"Peptides and Peptidomimetics as Potential Antiobesity Agents: Overview of Current 
      Status.","There is a high occurrence of obesity worldwide without many new medications 
      being approved for its treatment. Therefore, there is an urgent need to introduce 
      new approaches for treating obesity. Bioactive peptides have been used to treat 
      metabolic disorders- such as type-2 diabetes and obesity; while also possessing 
      anti-oxidant, anti-inflammatory, anti-microbial, and anti-viral properties. 
      However, the development of these peptides has taken backstage due to their size, 
      reduced stability, poor delivery and bioavailability, fast rate of degradation 
      etc. But with the emergence of newer techniques for multifunctional peptides, 
      mimetics, peptide analogs, and aptamers, there is a sudden revival in this 
      therapeutic field. An increased attention is required for development of the 
      natural peptides from food and marine sources which can mimic the function of 
      mediators involved in weight management to avoid obesity. Herein, the search for 
      the structures of anti-obesity peptides was carried out in order to establish 
      their potential for drug development in future. An extensive search for the 
      current status of endogenous, food and marine peptides, with reference to novel 
      and interesting experimental approaches based on peptidomimetics for controlling 
      obesity, was performed. Apolipoprotein A-I (apoA-I), melanocortin-4 receptor 
      (MC4R)-specific agonist, GLP-1 dual and triple agonists, neuropeptides and 
      prolactin-releasing peptide mimetics were specifically examined for their 
      anti-obesity role. Novel peptides, mimetics, and synthesis interventions are 
      transpiring and might offer safer alternatives for otherwise scarcely available 
      safe antiobesity drug. A deeper understanding of peptides and their chemistry 
      through the use of peptide engineering can be useful to overcome the 
      disadvantages and select best mimetics and analogs for treatment in future.",10.3389/fnut.2019.00011 [doi],Front Nutr. 2019 Feb 18;6:11. doi: 10.3389/fnut.2019.00011. eCollection 2019.,30834248,"['Kumar, Maushmi S']","[""Shobhaben Pratapbhai School of Pharmacy and Technology Management, SVKM'S Narsee ""]","['Journal Article', 'Review']","Kumar, Maushmi S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,review,259,,10.3389/fnut.2019.00011 ,10.3389/fnut.2019.00011,10.3389/fnut.2019.00011 ,PubMed
Critical reviews in food science and nutrition,2023,"Beneficial effects of fish and fish peptides on main metabolic syndrome 
      associated risk factors: Diabetes, obesity and lipemia.","The definition of metabolic syndrome (MetS) fairly varies from one to another 
      guideline and health organization. Per description of world health organization, 
      occurrence of hyperinsulinemia or hyperglycemia in addition to two or more 
      factors of dyslipidemia, hypoalphalipoproteinemia, hypertension and or large 
      waist circumference factors would be defined as MetS. Conventional therapies and 
      drugs, commonly with adverse effects, are used to treat these conditions and 
      diseases. Nonetheless, in the recent decades scientific community has focused on 
      the discovery of natural compounds to diminish the side effects of these 
      medications. Among many available bioactives, biologically active peptides have 
      notable beneficial effects on the management of diabetes, obesity, 
      hypercholesterolemia, and hypertension. Marine inclusive of fish peptides have 
      exerted significant bioactivities in different experimental in-vitro, in-vivo and 
      clinical settings. This review exclusively focuses on studies from the recent 
      decade investigating hypoglycemic, hypolipidemic, hypercholesterolemic and 
      anti-obesogenic fish and fish peptides. Related extraction, isolation, and 
      purification methodologies of anti-MetS fish biopeptides are reviewed herein for 
      comparison purposes only. Moreover, performance of biopeptides in simulated 
      gastrointestinal environment and structure-activity relationship along with 
      absorption, distribution, metabolism, and excretion properties of selected 
      oligopeptides have been discussed, in brief, to broaden the knowledge of readers 
      on the design and discovery trends of anti-MetS compounds.Supplemental data for 
      this article is available online at https://doi.org/10.1080/10408398.2022.2052261 
      .",10.1080/10408398.2022.2052261 [doi],Crit Rev Food Sci Nutr. 2023;63(26):7896-7944. doi: ,35297701,"['Abachi, Soheila', 'Pilon, Geneviève', 'Marette, André', 'Bazinet, Laurent', 'Beaulieu, Lucie']","['Institute of Nutrition and Functional Foods (INAF), Université Laval, Quebec, ', 'Department of Food Science, Faculty of Agricultural and Food Sciences, Université ', 'Institute of Nutrition and Functional Foods (INAF), Université Laval, Quebec, ', 'Department of Medicine, Faculty of Medicine, Cardiology Axis of the Quebec Heart ', 'Institute of Nutrition and Functional Foods (INAF), Université Laval, Quebec, ', 'Department of Medicine, Faculty of Medicine, Cardiology Axis of the Quebec Heart ', 'Institute of Nutrition and Functional Foods (INAF), Université Laval, Quebec, ', 'Department of Food Science, Faculty of Agricultural and Food Sciences, Université ', 'Laboratory of Food Processing and ElectroMembrane Processes (LTAPEM), Université ', 'Institute of Nutrition and Functional Foods (INAF), Université Laval, Quebec, ', 'Department of Food Science, Faculty of Agricultural and Food Sciences, Université ']","['Journal Article', 'Review']","Abachi, Soheila","Pilon, Geneviève","Marette, André","Bazinet, Laurent","Beaulieu, Lucie",,,,,,,,,,,,,,,,,,,,,,,,,,review,214,,10.1080/10408398.2022.2052261 ,,10.1080/10408398.2022.2052261 ,PubMed
Marine drugs,2017,"Bioactive Peptide of Marine Origin for the Prevention and Treatment of 
      Non-Communicable Diseases.
","Non-communicable diseases (NCD) are the leading cause of death and disability 
      worldwide. The four main leading causes of NCD are cardiovascular diseases, 
      cancers, respiratory diseases and diabetes. Recognizing the devastating impact of 
      NCD, novel prevention and treatment strategies are extensively sought. Marine 
      organisms are considered as an important source of bioactive peptides that can 
      exert biological functions to prevent and treatment of NCD. Recent 
      pharmacological investigations reported cardio protective, anticancer, 
      antioxidative, anti-diabetic, and anti-obesity effects of marine-derived 
      bioactive peptides. Moreover, there is available evidence supporting the 
      utilization of marine organisms and its bioactive peptides to alleviate NCD. 
      Marine-derived bioactive peptides are alternative sources for synthetic 
      ingredients that can contribute to a consumer's well-being, as a part of 
      nutraceuticals and functional foods. This contribution focus on the bioactive 
      peptides derived from marine organisms and elaborates its possible prevention and 
      therapeutic roles in NCD.",10.3390/md15030067 [doi],Mar Drugs. 2017 Mar 9;15(3):67. doi: 10.3390/md15030067.,28282929,"['Pangestuti, Ratih', 'Kim, Se-Kwon']","['Research Center for Oceanography, Indonesian Institute of Sciences (LIPI), ', 'Department of Marine-bio Convergence Science, Pukyong National University, Busan ', 'Institute for Life Science of Seogo (ILSS), Kolmar Korea Co., Seoul 137-876, ']","['Journal Article', 'Review']","Pangestuti, Ratih","Kim, Se-Kwon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,review,142,,10.3390/md15030067 ,10.3390/md15030067,10.3390/md15030067 ,PubMed
Cell biochemistry and biophysics,2025,"Revolutionizing Diabetes Care: The Role of Marine Bioactive Compounds and 
      Microorganisms.","Diabetes is a metabolic condition characterized by high blood glucose levels. 
      Aquatic products like microalgae, bacteria, seagrasses, macroalgae, corals, and 
      sponges have been investigated for potential anti-diabetic properties. We looked 
      at polyphenols, peptides, pigments, and sterols, as well as other bioactive 
      substances found in marine resources, to see if they could help treat or manage 
      diabetes, in addition to describing the several treatment strategies that alter 
      diabetes and its implications, such as inhibition of protein tyrosine 
      phosphatases 1B (PTP1B), α-glucosidase, α-amylase, dipeptidyl peptidase IV 
      (DPP-IV), aldose reductase, lipase, glycogen synthase kinase 3β (GSK-3β), and 
      insulin resistance prevention, promotion of liver antioxidant capacity, natural 
      killer cell stimulant, anti-inflammatory actions, increased AMP-activated protein 
      kinase (AMPK) phosphorylation and sugar and metabolism of the lipid, reducing 
      oxidative stress, and β-pancreatic cell prevention. This study highlights the 
      revolutionary potential of marine bioactive compounds and microorganisms in 
      transforming diabetes care. We believe in a future in which innovative, 
      sustainable, and efficient therapeutic approaches will result in improved quality 
      of life and better outcomes for people with diabetes mellitus by forging a new 
      path for treatment, utilizing the power of the world's oceans, and capitalizing 
      on the symbiotic relationship between humans and the marine ecosystem. This study 
      area offers optimism and promising opportunities for transforming diabetes care.",10.1007/s12013-024-01508-1 [doi],Cell Biochem Biophys. 2025 Mar;83(1):193-213. doi: 10.1007/s12013-024-01508-1. ,39254792,"['Reddy, Konatham Teja Kumar', 'Rakesh, Kamsali', 'Prathyusha, Segu', 'Gupta, Jeetendra Kumar', 'Nagasree, Kasturi', 'Lokeshvar, R', 'Elumalai, Selvaraja', 'Prasad, P Dharani', 'Kolli, Deepti']","['Department of Pharmacy, University College of Technology, Osmania University, ', 'Department of Chemistry, Koneru Lakshmaiah Education Foundation, Greenfields, ', 'Department of Pharmacognosy, School of Pharmacy, Guru Nanak Institutions ', 'Department of Pharmacology, Institute of Pharmaceutical Research, GLA University, ', 'Department of Regulatory Affairs, Samskruthi College of Pharmacy Samskruti ', 'Department of Pharmacology, Saveetha College of Pharmacy, Saveetha Institute of ', 'Department of Quality Control, Ambiopharm Inc, Dittman Ct, Beach Island, South ', 'Department of Pharmacology, Mohan Babu University, MB School of Pharmaceutical ', 'Department of Chemistry, Koneru Lakshmaiah Education Foundation, Greenfields, ']","['Journal Article', 'Review']","Reddy, Konatham Teja Kumar","Rakesh, Kamsali","Prathyusha, Segu","Gupta, Jeetendra Kumar","Nagasree, Kasturi","Lokeshvar, R","Elumalai, Selvaraja","Prasad, P Dharani","Kolli, Deepti",,,,,,,,,,,,,,,,,,,,,,review,210,,10.1007/s12013-024-01508-1 ,10.1007/s12013-024-01508-1. ,10.1007/s12013-024-01508-1 ,PubMed
