Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Data_Set
"['Kim Y.-J.', ' Lee J.H.', ' Jung S.-H.', ' Kim K.H.', ' Choi C.-H.', ' Jo S.', ' Woo D.H.']","Kim, Ye-Ji (57552172200); Lee, Jei Ha (55845372500); Jung, Seung-Hyun (56999169300); Kim, Ki Hyun (57718710500); Choi, Chang-Hoon (57718710600); Jo, Seonmi (36441231900); Woo, Dong Ho (7103062814)",57552172200; 55845372500; 56999169300; 57718710500; 57718710600; 36441231900; 7103062814,An Octopus-Derived Peptide with Antidiuretic Activity in Rats,2022,Marine Drugs,20.0,5,328,,,,0,10.3390/md20050328,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130999740&doi=10.3390%2fmd20050328&partnerID=40&md5=06eb8451e7eef4918d04ea32b33991b0,"Discovering new drug candidates with high efficacy and few side effects is a major challenge in new drug development. The two evolutionarily related peptides oxytocin (OXT) and arginine vasopressin (AVP) are known to be associated with a variety of physiological and psychological processes via the association of OXT with three types of AVP receptors. Over decades, many synthetic analogs of these peptides have been designed and tested for therapeutic applications; however, only a few studies of their natural analogs have been performed. In this study, we investigated the bioactivity and usefulness of two natural OXT/AVP analogs that originate from the marine invertebrate Octopus vulgaris, named octopressin (OTP) and cephalotocin (CPT). By measuring the intracellular Ca2+ or cyclic AMP increase in each OXT/AVP receptor subtype–overexpressing cell, we found that CPT, but not OTP, acts as a selective agonist of human AVP type 1b and 2 receptors. This behavior is reminiscent of desmopressin, the most widely prescribed antidiuretic drug in the world. Similar to the case for desmopressin, a single intravenous tail injection of CPT into Sprague-Dawley rats reduced urine output and increased urinary osmolality. In conclusion, we suggest that CPT has a significant antidiuretic effect and that CPT might be beneficial for treating urological conditions such as nocturia, enuresis, and diabetes insipidus. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85130999740,"Kim, Ye-Ji","Lee, Jei Ha","Jung, Seung-Hyun","Kim, Ki Hyun","Choi, Chang-Hoon","Jo, Seonmi","Woo, Dong Ho",,,,,,,,,,,SCOPUS
"['Pal D.', ' Raj K.']","Pal, Dilipkumar (56217602500); Raj, Khushboo (57219959422)",56217602500; 57219959422,Biological Activities of Marine Products and Nutritional Importance,2021,Advanced Structured Materials,140.0,,,587,616,29.0,9,10.1007/978-3-030-54027-2_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097893142&doi=10.1007%2f978-3-030-54027-2_17&partnerID=40&md5=1f5463b2c9e05c6ea65d6c00baf206ba,"Bioactive compounds, also known as phyto-nutrients are those compounds which enhance or we can say that promote good health. They are found in a limited amount in plants, animals, marine, and other natural food sources which help in the prevention of many diseases e.g. cancers, cardiac disorders, diabetes, etc. It is well known to us that nearly half of the worldwide biodiversity is constituted by different types of marine species and as a result, oceans, sea are enriched with valuable natural bioactive compounds such as proteins, peptides, amino acids, fatty acids, sterols, oligosaccharides, vitamins, and minerals, etc. These agents also help to enhance the nutritional as well as the therapeutic value of the food products. Every year nearly thousands of new compounds are isolated from a marine organism which further help in the discovery of new leads for the development of new drugs to treat or diagnose human diseases like cancer, viral diseases, inflammation, etc. For example, thyrsiferol, which is isolated from marine red algae (genus: Laurencia) on the experimental studies shows potent anti-viral and anti-tumour activities. Another example is marine sponge (genus: Insignia) which is a good source of terpenoids consisting of tetronic acids which act as anti-inflammatory agent, analgesic, and antibiotics. There are numerous examples of such marine products that are enriched with nutritional values and show many potent biological activities. In this article, we are going to discuss different marine products one by one with their biological and nutritional importances and also their role in the development of new drugs in the treatment of various human diseases. © 2020, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Book chapter,Final,,Scopus,2-s2.0-85097893142,"Pal, Dilipkumar","Raj, Khushboo",,,,,,,,,,,,,,,,SCOPUS
"['Saikia S.', ' Mahnot N.K.', ' Sahu R.K.', ' Kalita J.']","Saikia, Sangeeta (36638357300); Mahnot, Nikhil Kumar (56254346400); Sahu, Ravi Kumar (57192064053); Kalita, Jatin (56658374300)",36638357300; 56254346400; 57192064053; 56658374300,Edible Seaweeds as Potential Source of Nutraceuticals,2020,Marine Niche: Applications in Pharmaceutical Sciences: Translational Research,,,,183,201,18.0,5,10.1007/978-981-15-5017-1_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107522570&doi=10.1007%2f978-981-15-5017-1_10&partnerID=40&md5=98eb721d80c0f7c7d4197fa3e954dfff,"Edible seaweeds-superfoods of our waterways-are algae, botanically classified majorly into green (Chlorophyta), brown (Phaeophyta) and red (Rhodophyta) groups. They are a rich source of protein, dietary fibre, vitamins, minerals as well as polyphenols, peptides, sterols, PUFA, etc. Seaweeds are a major part of the diet of Southeast Asian countries as well as in parts of Europe, America and Australia. Apart from being a major nutrition source in the human diet, traditional Chinese medicine approves of edible seaweeds having medicinal properties. In recent times, edible algae are being marketed as a rich source of nutraceuticals for their bioactive properties. It has been established that bioactive compounds have a major therapeutic role in the management of a number of human metabolic diseases such as diabetes, cancer, hypertension, etc. Researchers are trying to discover newer bioactive molecules from different sources. Marine life constitutes around 80% of the world biota and edible algae is a major marine flora that can be explored to derive many bioactive compounds and other secondary metabolites for therapeutic applications through optimized harvesting, extraction and recovery for active molecules. The algal bioactive molecules have been widely reviewed to possess antiparasitic, antiinflammatory, anticancer, antioxidant and antidiabetic properties. Thus, opens a vast scope for utilization of bioactive compounds from edible seaweeds for development of nutraceuticals. © Springer Nature Singapore Pte Ltd. 2020.",Book chapter,Final,,Scopus,2-s2.0-85107522570,"Saikia, Sangeeta","Mahnot, Nikhil Kumar","Sahu, Ravi Kumar","Kalita, Jatin",,,,,,,,,,,,,,SCOPUS
"['Zhu C.', ' Zhang W.', ' Liu J.', ' Mu B.', ' Zhang F.', ' Lai N.', ' Zhou J.', ' Xu A.', ' Li Y.']","Zhu, Cuifeng (7403439453); Zhang, Wei (59891566200); Liu, Jianguo (57218658544); Mu, Bo (57194544625); Zhang, Fan (57208893082); Lai, Nannan (59070832200); Zhou, Jianxin (57211894825); Xu, Aimin (38761020200); Li, Yong (55966682000)",7403439453; 59891566200; 57218658544; 57194544625; 57208893082; 59070832200; 57211894825; 38761020200; 55966682000,Marine collagen peptides reduce endothelial cell injury in diabetic rats by inhibiting apoptosis and the expression of coupling factor 6 and microparticles,2017,Molecular Medicine Reports,16.0,4,,3947,3957,10.0,13,10.3892/mmr.2017.7061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028735579&doi=10.3892%2fmmr.2017.7061&partnerID=40&md5=a12643c2202b854562f560b6fea9bfe4,"The present study aimed to elucidate the role of marine collagen peptides (MCPs) in protection of carotid artery vascular endothelial cells (CAVECs) in type 2 diabetes mellitus (T2DM), and the mechanism underlying this process. In an in vivo experiment, diabetic Wistar rats were divided randomly into four groups (n=10/group): Diabetes control, and three diabetes groups administered low, medium and high doses of MCPs (2.25, 4.5 and 9.0 g/kg body weight/day, respectively). Another 10 healthy rats served as the control. In an in vitro experiment, human umbilical-vein endothelial cells (HUVECs) were incubated in normal and high concentrations of glucose with or without MCPs (3.0, 15.0 and 30.0 mg/ml, respectively) for 24, 48 or 72 h. Blood vessel/endothelial construction, inflammatory exudation and associated molecular biomarkers in CAVECs were detected and analyzed. The results of the present study demonstrated that in rats, MCP treatment for 4 weeks significantly lowered blood glucose and attenuated endothelial thinning and inflammatory exudation in carotid-artery vascular endothelial cells. In vitro, the high-glucose intervention significantly increased cell apoptosis in HUVECs, and medium and high doses of MCPs (4.5 and 9.0 g/kg body weight/day, respectively) partially ameliorated this high glucose-mediated apoptosis and decreased levels of apoptosis biomarkers. In conclusion, a moderate oral MCP dose (>4.5 g/kg body weight/day) may be a novel therapeutic tool to protect against early cardiovascular complications associated with T2DM by inhibiting apoptosis and reducing the expression of coupling factor 6 and microparticles.",Article,Final,,Scopus,2-s2.0-85028735579,"Zhu, Cuifeng","Zhang, Wei","Liu, Jianguo","Mu, Bo","Zhang, Fan","Lai, Nannan","Zhou, Jianxin","Xu, Aimin","Li, Yong",,,,,,,,,SCOPUS
"['Saha A.', ' Sridhar B.', ' Ram S.']","Saha, Asmita (59607848900); Sridhar, Bhoomika (59350610700); Ram, Shristi (57221378569)",59607848900; 59350610700; 57221378569,Potential Seaweed-Derived Bioactive Compounds for Pharmaceutical Applications,2024,Multidisciplinary Applications of Marine Resources: A Step Towards Green and Sustainable Future,,,,211,242,31.0,1,10.1007/978-981-97-5057-3_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004959774&doi=10.1007%2f978-981-97-5057-3_10&partnerID=40&md5=9c0966d26864d16efdf9d8a98b5b404d,"Seaweeds, also known as marine macroalgae, have been recognized for centuries as a valuable resource with diverse applications. The pharmaceutical industry is increasingly seeking novel, natural compounds for drug development. Seaweeds are rich sources of bioactive compounds, such as polysaccharides, polyphenols, peptides, and lipids, which exhibit a wide range of biological activities. This chapter explores the potential of seaweed-derived bioactive compounds for pharmaceutical applications and their antiviral, antibacterial, anti-inflammatory, antioxidant, and anticancer capabilities, underscoring their potential in combatting a spectrum of ailments. For diabetes, these compounds have been shown to possess hypoglycemic properties, contributing to the regulation of blood sugar levels and aid in weight management. Further, they control cell growth and initiate angiogenesis, cutting off blood supply to tumors showing potent anticancer effects. The immunomodulatory and neuroprotective effects have also been discussed, broadening the scope of their application. Finally, the chapter advocates for further research in the field to fully realize the potential of seaweed-derived bioactive compounds as groundbreaking drugs and transformative therapies, revolutionizing the landscape of modern medicine. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024.",Book chapter,Final,,Scopus,2-s2.0-105004959774,"Saha, Asmita","Sridhar, Bhoomika","Ram, Shristi",,,,,,,,,,,,,,,SCOPUS
"['Abachi S.', ' Pilon G.', ' Marette A.', ' Bazinet L.', ' Beaulieu L.']","Abachi, Soheila (57514095200); Pilon, Geneviève (6506554128); Marette, André (7005877156); Bazinet, Laurent (6603777952); Beaulieu, Lucie (8504575600)",57514095200; 6506554128; 7005877156; 6603777952; 8504575600,"Beneficial effects of fish and fish peptides on main metabolic syndrome associated risk factors: Diabetes, obesity and lipemia",2023,Critical Reviews in Food Science and Nutrition,63.0,26,,7896,7944,48.0,11,10.1080/10408398.2022.2052261,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126728912&doi=10.1080%2f10408398.2022.2052261&partnerID=40&md5=0ad419215708c69dce9c2990b6ffa560,"The definition of metabolic syndrome (MetS) fairly varies from one to another guideline and health organization. Per description of world health organization, occurrence of hyperinsulinemia or hyperglycemia in addition to two or more factors of dyslipidemia, hypoalphalipoproteinemia, hypertension and or large waist circumference factors would be defined as MetS. Conventional therapies and drugs, commonly with adverse effects, are used to treat these conditions and diseases. Nonetheless, in the recent decades scientific community has focused on the discovery of natural compounds to diminish the side effects of these medications. Among many available bioactives, biologically active peptides have notable beneficial effects on the management of diabetes, obesity, hypercholesterolemia, and hypertension. Marine inclusive of fish peptides have exerted significant bioactivities in different experimental in-vitro, in-vivo and clinical settings. This review exclusively focuses on studies from the recent decade investigating hypoglycemic, hypolipidemic, hypercholesterolemic and anti-obesogenic fish and fish peptides. Related extraction, isolation, and purification methodologies of anti-MetS fish biopeptides are reviewed herein for comparison purposes only. Moreover, performance of biopeptides in simulated gastrointestinal environment and structure-activity relationship along with absorption, distribution, metabolism, and excretion properties of selected oligopeptides have been discussed, in brief, to broaden the knowledge of readers on the design and discovery trends of anti-MetS compounds. Supplemental data for this article is available online at https://doi.org/10.1080/10408398.2022.2052261. © 2022 Taylor & Francis Group, LLC.",Review,Final,,Scopus,2-s2.0-85126728912,"Abachi, Soheila","Pilon, Geneviève","Marette, André","Bazinet, Laurent","Beaulieu, Lucie",,,,,,,,,,,,,SCOPUS
"['Fraga-Corral M.', ' Silva A.', ' Echave J.', ' Cassani L.', ' Xiao J.', ' Simal-Gandara J.', ' Prieto M.A.']","Fraga-Corral, María (58700642200); Silva, Aurora (57197468074); Echave, Javier (57217348886); Cassani, Lucia (56692752900); Xiao, Jianbo (57208509093); Simal-Gandara, Jesus (7004118440); Prieto, Miguel Angel (35937495700)",58700642200; 57197468074; 57217348886; 56692752900; 57208509093; 7004118440; 35937495700,Bioactive peptides released from seaweeds during gastrointestinal digestion,2024,"Protein Digestion-Derived Peptides: Chemistry, Bioactivity, and Health Effects",,,,353,385,32.0,1,10.1016/B978-0-443-19141-1.00013-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198422032&doi=10.1016%2fB978-0-443-19141-1.00013-3&partnerID=40&md5=0a74ce4cc6222cb348186d3602f06cbe,"Macroalgae are sustainable and natural sources of proteins, their content may reach values up to 40% of their total weight. Besides, they are especially attractive for their rich and abundant amount of essential amino acids with proportions of 30%–40% which are comparable to other terrestrial organisms, such as legumes. Hence, protein from macroalgae is a highly valuable resource that can be used as food ingredients but also as a matrix to obtain protein hydrolysates (PHs) and so bioactive peptides (BAPs). Hydrolyzation usually implies a pretreatment of the macroalgae to later apply a chemical or biological hydrolyzation followed by purification. The laborious procedure to obtain PHs and BAPs has been demonstrated to be profitable since it implies an improvement in the associated biological properties when compared to the untreated proteins. Among the enhanced qualities, PHs and BAPs have high digestibility ranges (~80%) which was related to better bioaccessibility and so to improved bioactivities. Among them, antioxidant, antiobesity, antidiabetic, hypotensive, and antiinflammatory stand out and, even though antiplatelet or anticancer have been scarcely explored, they have been proven too. Therefore the high content and quality of macroalgae proteins point to these marine organisms as a valuable source to obtain PHs and BAPs with huge potential to design functional products aimed to improve health status or prevent the development of chronic and global ailments, such as obesity, diabetes, or cardiovascular diseases, which strongly impact in the human well-being. © 2024 Elsevier Inc. All rights reserved.",Book chapter,Final,,Scopus,2-s2.0-85198422032,"Fraga-Corral, María","Silva, Aurora","Echave, Javier","Cassani, Lucia","Xiao, Jianbo","Simal-Gandara, Jesus","Prieto, Miguel Angel",,,,,,,,,,,SCOPUS
"['Ramos-Romero S.', ' Torrella J.R.', ' Pagès T.', ' Viscor G.', ' Torres J.L.']","Ramos-Romero, Sara (57190678964); Torrella, Joan Ramon (6603269467); Pagès, Teresa (6603948209); Viscor, Ginés (7004439165); Torres, Josep Lluís (7402798242)",57190678964; 6603269467; 6603948209; 7004439165; 7402798242,Edible microalgae and their bioactive compounds in the prevention and treatment of metabolic alterations,2021,Nutrients,13.0,2,563,1,16,15.0,98,10.3390/nu13020563,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100558451&doi=10.3390%2fnu13020563&partnerID=40&md5=de262fcb0f26cf2d7e75bf06eaebf8d2,"Marine and freshwater algae and their products are in growing demand worldwide because of their nutritional and functional properties. Microalgae (unicellular algae) will constitute one of the major foods of the future for nutritional and environmental reasons. They are sources of high-quality protein and bioactive molecules with potential application in the modern epidemics of obesity and diabetes. They may also contribute decisively to sustainability through carbon dioxide fixation and minimization of agricultural land use. This paper reviews current knowledge of the effects of consuming edible microalgae on the metabolic alterations known as metabolic syndrome (MS). These microalgae include Chlorella, Spirulina (Arthrospira) and Tetraselmis as well as Isochrysis and Nannochloropsis as candidates for human consumption. Chlorella biomass has shown antioxidant, antidiabetic, immunomodulatory, antihypertensive, and antihyperlipidemic effects in humans and other mammals. The components of microalgae reviewed suggest that they may be effective against MS at two levels: in the early stages, to work against the development of insulin resistance (IR), and later, when pancreatic-cell function is already compromised. The active components at both stages are antioxidant scavengers and anti-inflammatory lipid mediators such as carotenoids and-3 PUFAs (eicosapentaenoic acid/docosahexaenoic acid; EPA/DHA), prebiotic polysaccharides, phenolics, antihypertensive peptides, several pigments such as phycobilins and phycocyanin, and some vitamins, such as folate. As a source of high-quality protein, including an array of bioactive molecules with potential activity against the modern epidemics of obesity and diabetes, microalgae are proposed as excellent foods for the future. Moreover, their incorporation into the human diet would decisively contribute to a more sustainable world because of their roles in carbon dioxide fixation and reducing the use of land for agricultural purposes. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Review,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85100558451,"Ramos-Romero, Sara","Torrella, Joan Ramon","Pagès, Teresa","Viscor, Ginés","Torres, Josep Lluís",,,,,,,,,,,,,SCOPUS
"['Zhu C.F.', ' Zhang W.', ' Mu B.', ' Zhang F.', ' Lai N.N.', ' Zhou J.X.', ' Xu A.M.', ' Liu J.G.', ' Li Y.']","Zhu, Cui Feng (7403439453); Zhang, Wei (59891566200); Mu, Bo (57194544625); Zhang, Fan (57208893082); Lai, Nan Nan (59070832200); Zhou, Jian Xin (57211894825); Xu, Ai Min (38761020200); Liu, Jian Guo (57218658544); Li, Yong (55966682000)",7403439453; 59891566200; 57194544625; 57208893082; 59070832200; 57211894825; 38761020200; 57218658544; 55966682000,Effects of marine collagen peptides on glucose metabolism and insulin resistance in type 2 diabetic rats,2017,Journal of Food Science and Technology,54.0,8,,2260,2269,9.0,41,10.1007/s13197-017-2663-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020725481&doi=10.1007%2fs13197-017-2663-z&partnerID=40&md5=e0832e9f93e6603b72ebd80074fad04c,"The present study was conducted to investigate the effects of marine collagen peptides (MCPs) on glucose metabolism and insulin resistance using a rat model of type 2 diabetes mellitus (T2DM). Forty T2DM obese Wistar rats were randomly assigned to receive varying doses of MCPs or a vehicle control for 4 weeks. Blood glucose and insulin levels, as well as oxidative stress and inflammation were measured. The expression of glucose transporter type 4 (GLUT4) in skeletal muscles and peroxisome proliferator-activated receptor-α (PPAR-α) in livers of T2DM rats was also measured. It was found that in the group of 9.0 g/kg/day MCPs significantly improved glucose, insulin, and homeostatic model assessment-insulin resistance, and increased the insulin sensitivity index (ISI). In addition, the groups of 4.5 and 2.25 g/kg/day MCPs significantly improved liver steatosis. It was also found that MCPs decreased expression of oxidative stress biomarkers and inflammatory cytokines and adipocytokines in T2DM rats. In conclusion, medium and high doses of MCPs (≥4.5 g/kg/day) improved glucose metabolism and insulin sensitivity in T2DM rats. These beneficial effects of MCPs may be mediated by decreasing oxidative stress and inflammation and by up-regulating GLUT4, and PPAR-α activity. © 2017, Association of Food Scientists & Technologists (India).",Article,Final,,Scopus,2-s2.0-85020725481,"Zhu, Cui Feng","Zhang, Wei","Mu, Bo","Zhang, Fan","Lai, Nan Nan","Zhou, Jian Xin","Xu, Ai Min","Liu, Jian Guo","Li, Yong",,,,,,,,,SCOPUS
"['Mourelle M.L.', ' Gómez C.P.', ' Legido J.L.']","Mourelle, María Lourdes (22035813800); Gómez, Carmen P. (56254549700); Legido, José L. (56757682400)",22035813800; 56254549700; 56757682400,Role of Algal Derived Compounds in Pharmaceuticals and Cosmetics,2021,Recent Advances in Micro and Macroalgal Processing: Food and Health Perspectives,,,,537,603,66.0,9,10.1002/9781119542650.ch19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131828195&doi=10.1002%2f9781119542650.ch19&partnerID=40&md5=a9b97516b8a946aae7eab4a668c38c7e,"Macro- and microalgae contain a variety of biologically active compounds that are of great interest in the prevention of diseases and therefore are potential candidates for the development of pharmaceutical preparations, either as medicines or as nutraceuticals. Some epidemiological studies indicate that consumption of algae can protect from certain diseases such as allergies, cardiovascular diseases, cancer, obesity, diabetes, high blood pressure, atopic dermatitis, or Alzheimer’s disease, and this has led to in vitro and in vivo studies, to research their possible mechanisms of action. Even though clinical trials are scarce, the pharmaceutical industry is keen on developing drugs of natural origin from marine organisms (e.g. Adcetris®), with fewer side effects or less toxicity to humans. Macro- and microalgae contain a variety of bioactive compounds: polysaccharides; phenolic compounds such as phlorotannins; diverse pigments such as the chlorophylls and carotenoids, including fucoxanthin; mycosporine-like amino acids; halogenated compounds; proteins, peptides, and amino acids; essential and long-chain marine polyunsaturated fatty acids; sterols; and other lipids, vitamins, and minerals that could be putative active ingredients for the pharmaceutical industry. Moreover, the cosmetics industry is studying algal compounds as a source of ingredients for potential use in cosmeceutical preparations such as phloroglucinol, porphyran, astaxanthin, and fucoxanthin.This chapter summarizes current knowledge on algal compounds of interest for the formulation of pharmaceutical and cosmeceutical preparations. © 2021 JohnWiley and Sons, Ltd.",Book chapter,Final,,Scopus,2-s2.0-85131828195,"Mourelle, María Lourdes","Gómez, Carmen P.","Legido, José L.",,,,,,,,,,,,,,,SCOPUS
