Publication Type,Source Title,Publication Year,Article Title,Abstract,DOI_with_Patent,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16
P,Patente,,Use of marine collagen peptide for preparing diabetes wound healing medicine and food,"NOVELTY - Marine collagen peptide is used for preparing diabetes wound healing medicine and food. USE - Marine collagen peptide used for preparing the diabetes wound healing medicine and food, in which the medicine includes powder, granule, capsule, tablet, pill, oral solution and external dressing, and the food can be starch product, milk and milk product, bean product and baked product (all claimed). ADVANTAGE - The marine collagen peptide has easy absorption, low viscosity and good water-solubility; can increase the diabetes wound healing degree, formation of granulation tissue, collagen deposition and vascularization, and promote the healing of diabetes wound.",CN102049037-A,LI Y, WANG J, ZHANG Z,,,,,,,,,,,,,
P,Patente,,"Reducing postprandial concentrations of glucose in subject's blood to treat pre-diabetes or diabetes, comprises administering a combination of marine peptide and a fish nucleotide prior to or during a meal","NOVELTY - Reducing (M1) postprandial concentrations of glucose in a subject's blood, comprises administering to the subject, a combination of a marine peptide and a fish nucleotide to reduce the glucose concentration in the subject's blood, where the combination is administered to the subject prior to or during a meal. USE - The methods are useful for: reducing postprandial concentrations of glucose in a subject's blood, where the subject is a human, and is in need of such reduction; increasing postprandial concentration of GLP-1 levels and reducing postprandial concentrations of ghrelin levels in a subject's blood; providing a feeling of satiety to a subject; for reducing the subject's insulin resistance; and treating pre-diabetes or diabetes, and obesity (all claimed). The ability of the combination to reduce postprandial concentrations of glucose was tested in a subject using biological assay. The result showed that subjects administered with the combination of marine peptide and marine nucleotides diet exhibited 19% reduction in postprandial blood glucose, as compared to subjects administered with marine peptide diet that exhibited 13% reduction in postprandial blood glucose. ADVANTAGE - The method utilizes the marine peptide in combination with marine nucleotides, hence lowers the inflammation and stimulates gastrointestinal function. DETAILED DESCRIPTION - INDEPENDENT CLAIMS are also included for:(1) increasing (M2) postprandial concentration of glucagon-like peptide (GLP)-1 levels in a subject's blood, comprising administering the marine peptide at 20 mg/Kg, to the subject, where the marine peptide is administered to the subject prior to or during a meal, and is administered in the substantial absence of the marine nucleotide;(2) reducing (M3) postprandial concentrations of ghrelin levels in a subject's blood, comprising administering the marine peptide to the subject, where the marine peptide is provided in the substantial absence of a marine nucleotide;(3) providing (M4) a feeling of satiety to a subject, comprising administering to the subject, 20-25 mg/Kg marine peptide, where the marine peptide is provided in the substantial absence of a marine nucleotide; and(4) a composition comprising a combination of isolated marine peptide and isolated fish nucleotides in a weight ratio of 10:1, where the combination is provided to reduce blood levels of glucose in a subject.",WO2016016350-A1; CN106573034-A; IN201737001020-A; EP3174548-A1; JP2017523203-W; US2017258866-A1; MX2017000878-A1; BR112017001589-A2; US10213473-B2; RU2713935-C1; EP3174548-B1; JP6829186-B2; ES2815351-T3; CN106573034-B,BJORGE O, LIED E, BJA R O, LEDER E,,,,,,,,,,,,
P,Patente,,"Nutritional health food formula of black bean, for preventing and treating diabetes mellitus, comprises black bean powder, marine collagen peptide, Ganoderma lucidum spore powder and mulberry leaf extract","NOVELTY - A nutritional health food formula of black bean, comprises: black bean powder, marine collagen peptide, Ganoderma lucidumspore powder and mulberry leaf extract made via a water-decocting and alcohol-precipitating method. USE - In preparing functional food for preventing and treating diabetes mellitus (such as type II diabetes mellitus) through adjuvant therapy (claimed). ADVANTAGE - The nutritional health food formula is capable of achieving the purpose of properly adjusting dietary structure, reduces fat intake and prevents or helps treat diabetes mellitus, and has significant effect of adjuvant therapy for type II diabetes mellitus.",CN102578499-A; CN102578499-B,QI B, WU L, ZHANG C, ZHANG L,,,,,,,,,,,,
P,Patente,,"Enteral nutritional formulation useful in medicine or food for preventing gestational diabetes in women, comprises marine animal protein or soy peptide, polysaccharide, turtle enzymolyzed powder and plant oil","NOVELTY - Enteral nutritional formulation comprises marine animal protein or soy peptide, polysaccharide, turtle enzymolyzed powder and plant oil. USE - The enteral nutritional formulation is useful in medicine or food for preventing gestational diabetes in women and reducing blood sugar (claimed), enhancing immunity. ADVANTAGE - The enteral nutritional formulation has balanced nutrient content. DETAILED DESCRIPTION - An INDEPENDENT CLAIM is included for method for preparing the enteral nutritional formulation which involves mixing and sieving the raw materials using 100 meshes, sterilizing the mixture, adding water to the sterilized mixture, adding emulsifier and plant oil to the obtained mixture, and uniformly mixing the obtained product.",CN103584083-A; CN103584083-B,SUN H, CAI B, PAN J, CHEN H, WAN P,,,,,,,,,,,
P,Patente,,"Powder for treating diabetes comprises marine fish collagen peptide, Chitooligosaccharides, salt algae powder, selenium-enriched rice flour, mountain powder, Arabinose, Polydextrose, Sucralose, food flavors and citric acid","NOVELTY - Powder comprises 35-45 pts. wt. marine fish collagen peptide, 2-3 pts. wt. Chitooligosaccharides, 2-3 pts. wt. Salt algae powder, 1-3 pts. wt. selenium-enriched rice flour, 9-11 pts. wt. mountain powder, 1-3 pts. wt. Arabinose, 19-21 pts. wt. Polydextrose, 0.5-1.5 pts. wt. Sucralose, 0.5-1.5 pts. wt. food flavors and 0.5-1.5 pts. wt. citric acid. USE - Powder for treating diabetes (claimed). ADVANTAGE - The powder has good treatment and health care effect. DETAILED DESCRIPTION - An INDEPENDENT CLAIM is included for a method for preparing powder, which involves pulverizing raw materials for 15 minutes, mixing in a mixer for 30 minutes, drying for 30 minutes and then packaging.",CN104770642-A,DING Z, FANG X, LIU Z, SHI J, SUN D, YU T, ZHU M, ZHANG C, ZHANG X, HU S,,,,,,
P,Patente,,"Gestational diabetes patient food used for reducing blood glucose comprises bagasse or resistant dextrin, prebiotics, drug and diet dual-purpose extract, wheat or rice flour, linseed, peptide, fatty powder, yeast, vitamin premix, and premix","NOVELTY - Gestational diabetes patient food comprises 30-60 wt.% bagasse or resistant dextrin, 10-45 wt.% prebiotics (isomaltooligosaccharide, stachyose, fructooligosaccharides, soybean oligosaccharide, xylooligosaccharide, inulin), 15-25 wt.% drug and diet dual-purpose extract (10-45 wt.% sealwort, 10-45 wt.% Polygonatum odoratum, 10-45 wt.% Chinese yam, 10-45 wt.% tuckahoe, 10-45 wt.% jujube, 10-45 wt.% medlar) as main raw materials, 10-39 wt.% wheat or rice flour, 2-30 wt.% linseed, 2-20 wt.% peptide (marine fish oligopeptide, marine bone original small peptide, soybean protein peptide, whey protein peptide, ovalbumin peptide, wheat oligopeptide), 1-6 wt.% fatty powder (medium chain triglyceride (MCT) powder, alpha -linolenic acid, linoleic acid, linseed oil, germ oil), 1-6 wt.% yeast as auxiliary material, 0.5-2 wt.% vitamin premix, and 0.5-2 wt.% mineral premix. USE - Gestational diabetes patient food used for reducing blood glucose of gestational diabetes patient. ADVANTAGE - The gestational diabetes patient food ensures stable blood glucose of gestational diabetes mellitus patient after meal by biological slow-release technology, avoids the harm of hypoglycemia, supplements the basic nutrients, improves nutritional imbalance or excess, and protects the liver and kidney, and controls the blood sugar without affecting the normal flora of the intestinal tract. DETAILED DESCRIPTION - Gestational diabetes patient food comprises 30-60 wt.% bagasse or resistant dextrin, 10-45 wt.% prebiotics (isomaltooligosaccharide, stachyose, fructooligosaccharides, soybean oligosaccharide, xylooligosaccharide, inulin), 15-25 wt.% drug and diet dual-purpose extract (10-45 wt.% sealwort, 10-45 wt.% Polygonatum odoratum, 10-45 wt.% Chinese yam, 10-45 wt.% tuckahoe, 10-45 wt.% jujube, 10-45 wt.% medlar) as main raw materials, 10-39 wt.% wheat or rice flour, 2-30 wt.% linseed, 2-20 wt.% peptide (marine fish oligopeptide, marine bone original small peptide, soybean protein peptide, whey protein peptide, ovalbumin peptide, wheat oligopeptide), 1-6 wt.% fatty powder (MCT powder, alpha -linolenic acid, linoleic acid, linseed oil, germ oil), 1-6 wt.% yeast as auxiliary material, 0.5-2 wt.% vitamin premix (vitamin A, vitamin D, vitamin E, vitamin K1, vitamin C, vitamin B1, vitamin B2, vitamin B6, vitamin B12, niacin, folic acid, pantothenic acid, choline and biotin), and 0.5-2 wt.% mineral premix (calcium, phosphorus, potassium, sodium, magnesium, iron, zinc, selenium, copper, manganese, iodine, fluorine, chromium, molybdenum). It is prepared by adding rhizoma polygonati, P. odoratum, Chinese yam, tuckahoe, spina date seed, and medlar with water, soaking for 60-100 minutes, adding cellulase, pectinase, pawpaw protease and amylase at 1 mg/g substrate, where pH is 4.0-5.0, conducting enzymolysis at 50-80 degrees C for 1-3 hours, where ratio of material to liquid is 1:15, extracting traditional Chinese medicine essence, spray drying, obtaining powder mixture, adding biological enzyme-extracted prebiotics, bagasse or resistant dextrin, wheat or rice flour, linseed, peptide, fatty powder, and yeast, mixing for 20-40 minutes at 30-45 revolutions/minute (rpm), adding vitamin premix and mineral premix, mixing at 12-15 rpm for 20-40 minutes, and pasteurizing for 1 hour.",CN109043553-A,ZENG Q, HU A, MA F, GE S, SUN J,,,,,,,,,,,
P,Patente,,"Preparing a peptide formulation for treating diabetes, involves taking quantitative oyster powder and sea cucumber powder, and mixing a predetermined proportion of medicinal and edible ingredient powder, and performing enzymatic hydrolysis","NOVELTY - Preparing a peptide formulation involves taking quantitative oyster powder and sea cucumber powder, and mixing a predetermined proportion of the medicinal and edible ingredient powder. The deionized water is added in the mixture, which is heated in water bath, and then homogenized to obtain homogenate. The pH of homogenate is adjusted to 7-10. The enzymatic hydrolysis is performed at 40-60 degrees C for 2-4 hours by adding Protease I. The temperature and pH of the reaction system is maintained. The hydrolysis is performed by adding Protease II for 2-4 hours. USE - Method for preparing peptide formulation for treating diabetes (all claimed). ADVANTAGE - The method enables to prepare peptide formulation that has health care effect and hepatoprotective activity, improves the degree of hydrolysis and reduces defects in biological activity by performing dual enzymatic hydrolysis, and enhances the quality of the product. DETAILED DESCRIPTION - Preparing a peptide formulation involves taking quantitative oyster powder and sea cucumber powder, and mixing a predetermined proportion of the medicinal and edible ingredient powder. The deionized water is added in the mixture, which is heated in water bath, and then homogenized to obtain homogenate. The pH of homogenate is adjusted to 7-10. The enzymatic hydrolysis is performed at 40-60 degrees C for 2-4 hours by adding Protease I. The temperature and pH of the reaction system is maintained. The hydrolysis is performed by adding Protease II for 2-4 hours. The reaction is terminated to obtain a protein hydrolyzate. The temperature of protein hydrolyzate is raised to 75-95 degrees C for 15-30 minutes. The solution is centrifuged to obtain supernatant. The obtained supernatant is mixed with 95% ethanol to obtain 60-80 vol.% solution which is centrifuged to obtain supernatant that is kept at 4 degrees C for 10-15 hours. The pH of supernatant is adjusted to 6-8, and supernatant is passed through cutoff ultrafiltration membrane having 3000-10000Da molecular weight. The obtained ultrafiltrate is collected to give marine biological health care peptide.",CN105296584-A,JIANG N,,,,,,,,,,,,,,,
J,FUTURE FOODS,2024.0,Pharmacoinformatics and cellular studies of algal peptides as functional molecules to modulate type-2 diabetes markers,"Novel dietary strategies are urgently needed to address the limitations of current management and treatment options of Type -2 Diabetes (T2D). Marine algae -derived peptides (MAP) represent a promising avenue, although, their potential remains mostly underexplored. This study employs pharmacoinformatics and in vitro methods to evaluate the antidiabetic properties of MAP and provide new insights their mechanisms to mitigate the prevalence of T2D. Through a systematic search and predictive modeling, peptides were identified and assessed for bioactivity, toxicity, and drug -likeness. Furthermore, molecular docking simulations with protein targets related to T2D identified binding sites that be used to optimize the activity of MAP. The structure -activity relationship profile of MAP reveals 13 candidates with probable activity (Pa) scores >0.4, indicative of insulin promoter. The peptide FDGIP (P13;Phe-Asp-Gly-Ile-Pro) from Caulerpa lentillifera had the best in silico assessment value compared to 50 other peptides and its activity was confirmed by in vitro data (e.g.EC50 60.4 and 57.9 for alpha-amylase and alpha-glucosidase inhibitions). Interestingly, in 3T3 -L1 cells, P13 exhibited inhibitory activities against transcription factors and hormones (MAPK8-JNK1/PPARGC1A/Ghrelin/GLP-1/CPT-1) that can regulate blood sugar and decrease as anti -diabetes. P13 then appears to be a peptide with antidiabetic action that may be used in the formulation foods to manage T2D.",10.1016/j.fufo.2024.100354,"Kurniawan, Rudy"," Taslim, Nurpudji Astuti"," Hardinsyah, Hardinsyah"," Syauki, Andi Yasmin"," Idris, Irfan"," Aman, Andi Makbul"," Permatasari, Happy Kurnia"," Wiyarta, Elvan"," Surya, Reggie"," Mayulu, Nelly"," Putra, Purnawan Pontana"," Tjandrawinata, Raymond Rubianto"," Tallei, Trina Ekawati"," Kim, Bonglee"," Tsopmo, Apollinaire"," Nurkolis, Fahrul"
J,APPLIED PHYSIOLOGY NUTRITION AND METABOLISM,2010.0,Treatment with marine collagen peptides modulates glucose and lipid metabolism in Chinese patients with type 2 diabetes mellitus,"This study was aimed at examining the therapeutic effects of marine collagen peptides (MCPs) from fish hydrolysate in Chinese patients with type 2 diabetes mellitus (T2DM). A total of 100 diabetic patients and 50 healthy controls were recruited. Diabetic patients were randomized into treatment and control groups. The patients in the treatment group received an additional 13 g of MCPs daily for 3 months. Their blood samples were collected before, and 1.5 and 3 months after, treatment to evaluate glucose and lipid metabolism. The levels of serum high-sensitivity C-reactive protein (hs-CRP), nitric oxide (NO), bradykinin, prostacyclin (PGI(2)), and adipokines were determined. Significantly reduced levels of fasting blood glucose, human glycated hemoglobin A1c (GHbA1c), fasting blood insulin, total triglycerides, total cholesterol, low-density lipoprotein, and free-fatty acids, but increased levels of insulin sensitivity index and HDL were observed in T2DM patients following treatment with MCPs for 1.5 and 3 months. The values of these measures were significantly lower or higher than those of patient controls (p < 0.01), respectively. Interestingly, significantly decreased levels of hs-CRP and NO, but increased levels of bradykinin, PGI(2), and adiponectin were detected in MCP-treated T2DM patients (p < 0.01), as compared with their basal values or the levels in patient controls. MCP treatment improved glucose and lipid metabolism in diabetic patients.",10.1139/H10-075,"Zhu, Cui-Feng"," Li, Guan-Zhi"," Peng, Hong-Bin"," Zhang, Fan"," Chen, Yun"," Li, Yong",,,,,,,,,,
P,Patente,,"Marine biology type enteral nutrient preparation used in treating diabetes, comprises e.g. seaweed polysaccharide, microalgae, spirulina powder, taurine, medium chain triglyceride, konjac dietary fiber, fruit-vegetable powder, wheat bran","NOVELTY - A marine biology type enteral nutrient preparation, comprises (parts): seaweed polysaccharide (3-15), marine edible animal protein peptide (1-5), microalgae (3-5), spirulina powder (0.3-2), taurine (0.1-1), Momordica charantia polysaccharide or pumpkin polysaccharide (40-50), soybean separating protein powder (10-15), medium chain triglyceride (7-10), konjac dietary fiber (3-8), fruit-vegetable powder (1-5), wheat bran (0.1-0.5), alpha-lipoic acid (0.1-0.5), and trace amounts of trace element additives. USE - For treating diabetes (claimed). ADVANTAGE - The marine biology type enteral nutrient preparation effectively reduces the blood sugar level in patients; is reasonable with unique pharmacological properties; fulfills the nutritional and metabolic demands of the diabetic patient; provides balanced nutrition for diabetes and pre-diabetes, and effectively reverses malnutrition; and is helpful to improve life quality of diabetes patient and promote rehabilitation. DETAILED DESCRIPTION - An INDEPENDENT CLAIM is included for preparing the marine biology type enteral nutrient preparation, involving uniformly mixing each component of preparation, crushing to grain size of less than 125 microns, and subjecting to irradiation and sterilizing to obtain the marine biology type enteral nutrient preparation for diabetes.",CN102613453-A; CN102613453-B,CAI B, CHEN D, LONG L, PAN J, SUN H, SUN X, WAN P,,,,,,,,,
